Time_µs	C1 Voltage_mV
2.518620E+0	1.562500E+1
2.542620E+0	-1.562500E+1
2.566620E+0	0.000000E+0
2.590620E+0	-3.125000E+1
2.614620E+0	0.000000E+0
2.638620E+0	0.000000E+0
2.662620E+0	0.000000E+0
2.686620E+0	1.562500E+1
2.710620E+0	1.562500E+1
2.734620E+0	0.000000E+0
2.758620E+0	0.000000E+0
2.782620E+0	1.562500E+1
2.806620E+0	0.000000E+0
2.830620E+0	-1.562500E+1
2.854620E+0	-1.562500E+1
2.878620E+0	-1.562500E+1
2.902620E+0	0.000000E+0
2.926620E+0	0.000000E+0
2.950620E+0	1.562500E+1
2.974620E+0	1.562500E+1
2.998620E+0	-1.562500E+1
3.022620E+0	0.000000E+0
3.046620E+0	-1.562500E+1
3.070620E+0	3.125000E+1
3.094620E+0	3.125000E+1
3.118620E+0	1.562500E+1
3.142620E+0	3.125000E+1
3.166620E+0	-1.562500E+1
3.190620E+0	0.000000E+0
3.214620E+0	-1.562500E+1
3.238620E+0	1.562500E+1
3.262620E+0	1.562500E+1
3.286620E+0	1.562500E+1
3.310620E+0	-1.562500E+1
3.334620E+0	3.125000E+1
3.358620E+0	-1.562500E+1
3.382620E+0	-1.562500E+1
3.406620E+0	1.562500E+1
3.430620E+0	1.562500E+1
3.454620E+0	1.562500E+1
3.478620E+0	1.562500E+1
3.502620E+0	0.000000E+0
3.526620E+0	1.562500E+1
3.550620E+0	3.125000E+1
3.574620E+0	0.000000E+0
3.598620E+0	1.562500E+1
3.622620E+0	1.562500E+1
3.646620E+0	1.562500E+1
3.670620E+0	3.125000E+1
3.694620E+0	-1.562500E+1
3.718620E+0	1.562500E+1
3.742620E+0	0.000000E+0
3.766620E+0	1.562500E+1
3.790620E+0	3.125000E+1
3.814620E+0	1.562500E+1
3.838620E+0	0.000000E+0
3.862620E+0	1.562500E+1
3.886620E+0	-1.562500E+1
3.910620E+0	-1.562500E+1
3.934620E+0	1.562500E+1
3.958620E+0	-1.562500E+1
3.982620E+0	-1.562500E+1
4.006620E+0	-1.562500E+1
4.030620E+0	-1.562500E+1
4.054620E+0	1.562500E+1
4.078620E+0	0.000000E+0
4.102620E+0	-1.562500E+1
4.126620E+0	3.125000E+1
4.150620E+0	-1.562500E+1
4.174620E+0	-1.562500E+1
4.198620E+0	0.000000E+0
4.222620E+0	1.562500E+1
4.246620E+0	0.000000E+0
4.270620E+0	-3.125000E+1
4.294620E+0	1.562500E+1
4.318620E+0	1.562500E+1
4.342620E+0	-1.562500E+1
4.366620E+0	-1.562500E+1
4.390620E+0	-1.562500E+1
4.414620E+0	1.562500E+1
4.438620E+0	3.125000E+1
4.462620E+0	1.562500E+1
4.486620E+0	1.562500E+1
4.510620E+0	3.125000E+1
4.534620E+0	1.562500E+1
4.558620E+0	0.000000E+0
4.582620E+0	3.125000E+1
4.606620E+0	4.687500E+1
4.630620E+0	0.000000E+0
4.654620E+0	-1.562500E+1
4.678620E+0	0.000000E+0
4.702620E+0	1.562500E+1
4.726620E+0	0.000000E+0
4.750620E+0	0.000000E+0
4.774620E+0	-1.562500E+1
4.798620E+0	0.000000E+0
4.822620E+0	0.000000E+0
4.846620E+0	-3.125000E+1
4.870620E+0	1.562500E+1
4.894620E+0	-1.562500E+1
4.918620E+0	1.562500E+1
4.942620E+0	1.562500E+1
