Time_ms	C1 Voltage_mV
2.347201E+1	1.625001E+0
2.359801E+1	2.250001E+0
2.372401E+1	2.250001E+0
2.385001E+1	2.250001E+0
2.397601E+1	1.937501E+0
2.410201E+1	2.250001E+0
2.422801E+1	2.562501E+0
2.435401E+1	1.937501E+0
2.448001E+1	2.875001E+0
2.460601E+1	1.937501E+0
2.473201E+1	2.562501E+0
2.485801E+1	2.562501E+0
2.498401E+1	2.562501E+0
2.511001E+1	2.250001E+0
2.523601E+1	2.562501E+0
2.536201E+1	1.937501E+0
2.548801E+1	2.250001E+0
2.561401E+1	2.250001E+0
2.574001E+1	2.562501E+0
2.586601E+1	1.625001E+0
2.599201E+1	2.562501E+0
2.611801E+1	1.625001E+0
2.624401E+1	2.250001E+0
2.637001E+1	1.937501E+0
2.649601E+1	1.625001E+0
2.662201E+1	2.562501E+0
2.674801E+1	2.250001E+0
2.687401E+1	2.250001E+0
2.700001E+1	1.937501E+0
2.712601E+1	2.562501E+0
2.725201E+1	2.562501E+0
2.737801E+1	2.250001E+0
2.750401E+1	2.250001E+0
2.763001E+1	2.250001E+0
2.775601E+1	1.937501E+0
2.788201E+1	2.562501E+0
2.800801E+1	2.250001E+0
2.813401E+1	3.187501E+0
2.826001E+1	2.250001E+0
2.838601E+1	2.562501E+0
2.851201E+1	1.937501E+0
2.863801E+1	1.937501E+0
2.876401E+1	2.250001E+0
2.889001E+1	2.250001E+0
2.901601E+1	2.562501E+0
2.914201E+1	2.250001E+0
2.926801E+1	2.875001E+0
2.939401E+1	2.250001E+0
2.952001E+1	1.625001E+0
2.964601E+1	1.937501E+0
2.977201E+1	1.937501E+0
2.989801E+1	1.937501E+0
3.002401E+1	2.875001E+0
3.015001E+1	1.937501E+0
3.027601E+1	2.250001E+0
3.040201E+1	1.937501E+0
3.052801E+1	1.312501E+0
3.065401E+1	1.937501E+0
3.078001E+1	2.562501E+0
3.090601E+1	2.562501E+0
3.103201E+1	1.937501E+0
3.115801E+1	2.875001E+0
3.128401E+1	2.250001E+0
3.141001E+1	2.562501E+0
3.153601E+1	1.625001E+0
3.166201E+1	1.937501E+0
3.178801E+1	2.562501E+0
3.191401E+1	1.937501E+0
3.204001E+1	1.937501E+0
3.216601E+1	1.937501E+0
3.229201E+1	2.250001E+0
3.241801E+1	2.875001E+0
3.254401E+1	2.562501E+0
3.267001E+1	1.937501E+0
3.279601E+1	2.250001E+0
3.292201E+1	2.250001E+0
3.304801E+1	1.937501E+0
3.317401E+1	2.250001E+0
3.330001E+1	2.562501E+0
3.342601E+1	2.250001E+0
3.355201E+1	1.625001E+0
3.367801E+1	1.937501E+0
3.380401E+1	1.937501E+0
3.393001E+1	1.625001E+0
3.405601E+1	2.562501E+0
3.418201E+1	1.625001E+0
3.430801E+1	1.937501E+0
3.443401E+1	2.562501E+0
3.456001E+1	1.937501E+0
3.468601E+1	1.937501E+0
3.481201E+1	2.250001E+0
3.493801E+1	1.312501E+0
3.506401E+1	1.937501E+0
3.519001E+1	1.937501E+0
3.531601E+1	2.250001E+0
3.544201E+1	2.562501E+0
3.556801E+1	1.625001E+0
3.569401E+1	1.937501E+0
3.582001E+1	1.937501E+0
3.594601E+1	1.937501E+0
3.607201E+1	2.250001E+0
3.619801E+1	2.562501E+0
3.632401E+1	2.250001E+0
3.645001E+1	2.562501E+0
3.657601E+1	2.562501E+0
3.670201E+1	2.562501E+0
3.682801E+1	2.562501E+0
3.695401E+1	1.937501E+0
3.708001E+1	2.250001E+0
3.720601E+1	1.625001E+0
3.733201E+1	1.937501E+0
3.745801E+1	2.250001E+0
3.758401E+1	2.250001E+0
3.771001E+1	1.937501E+0
3.783601E+1	2.250001E+0
3.796201E+1	1.312501E+0
3.808801E+1	2.562501E+0
3.821401E+1	2.250001E+0
3.834001E+1	2.562501E+0
3.846601E+1	1.312501E+0
3.859201E+1	1.937501E+0
3.871801E+1	1.937501E+0
3.884401E+1	1.937501E+0
3.897001E+1	2.250001E+0
3.909601E+1	2.562501E+0
3.922201E+1	1.937501E+0
3.934801E+1	1.937501E+0
3.947401E+1	2.562501E+0
3.960001E+1	1.937501E+0
3.972601E+1	1.625001E+0
3.985201E+1	2.562501E+0
3.997801E+1	1.937501E+0
4.010401E+1	2.250001E+0
4.023001E+1	2.250001E+0
4.035601E+1	2.250001E+0
4.048201E+1	2.250001E+0
4.060801E+1	1.937501E+0
4.073401E+1	1.937501E+0
4.086001E+1	2.250001E+0
4.098601E+1	2.875001E+0
4.111201E+1	2.250001E+0
4.123801E+1	1.937501E+0
4.136401E+1	2.562501E+0
4.149001E+1	2.250001E+0
4.161601E+1	1.937501E+0
4.174201E+1	1.625001E+0
4.186801E+1	1.937501E+0
4.199401E+1	1.937501E+0
4.212001E+1	2.562501E+0
4.224601E+1	1.625001E+0
4.237201E+1	2.562501E+0
4.249801E+1	1.937501E+0
4.262401E+1	2.250001E+0
4.275001E+1	2.250001E+0
4.287601E+1	1.937501E+0
4.300201E+1	2.250001E+0
4.312801E+1	1.625001E+0
4.325401E+1	2.250001E+0
4.338001E+1	2.875001E+0
4.350601E+1	1.937501E+0
4.363201E+1	1.937501E+0
4.375801E+1	2.562501E+0
4.388401E+1	1.937501E+0
4.401001E+1	2.250001E+0
4.413601E+1	1.937501E+0
4.426201E+1	1.937501E+0
4.438801E+1	2.562501E+0
4.451401E+1	1.625001E+0
4.464001E+1	1.937501E+0
4.476601E+1	2.875001E+0
4.489201E+1	1.625001E+0
